dataset,n,R,metodo,tiempo
dinamica,5100,6500,DP,297.922
dinamica,5100,7000,DP,332.917
dinamica,5100,7500,DP,316.884
dinamica,5600,1000,DP,92.7651
dinamica,5600,1500,DP,169.058
dinamica,5600,2000,DP,234.81
dinamica,5600,2500,DP,306.611
dinamica,5600,3000,DP,314.062
dinamica,5600,3500,DP,310.881
dinamica,5600,4000,DP,330.997
dinamica,5600,4500,DP,357.016
dinamica,5600,5000,DP,360.267
dinamica,5600,5500,DP,373.363
dinamica,5600,6000,DP,417.678
dinamica,5600,6500,DP,372.065
dinamica,5600,7000,DP,358.704
dinamica,5600,7500,DP,387.278
dinamica,6100,1000,DP,108.239
dinamica,6100,1500,DP,159.956
dinamica,6100,2000,DP,232.493
dinamica,6100,2500,DP,324.593
dinamica,6100,3000,DP,489.553
dinamica,6100,3500,DP,437.282
dinamica,6100,4000,DP,406.853
dinamica,6100,4500,DP,381.517
dinamica,6100,5000,DP,393.308
dinamica,6100,5500,DP,390.991
dinamica,6100,6000,DP,405.866
dinamica,6100,6500,DP,403.57
dinamica,6100,7000,DP,408.228
dinamica,6100,7500,DP,414.238
dinamica,6600,1000,DP,100.936
dinamica,6600,1500,DP,166.418
dinamica,6600,2000,DP,233.896
dinamica,6600,2500,DP,303.49
dinamica,6600,3000,DP,384.124
dinamica,6600,3500,DP,426.319
dinamica,6600,4000,DP,449.322
dinamica,6600,4500,DP,457.926
dinamica,6600,5000,DP,452.518
dinamica,6600,5500,DP,444.803
dinamica,6600,6000,DP,467.688
dinamica,6600,6500,DP,477.113
dinamica,6600,7000,DP,477.964
dinamica,6600,7500,DP,479.283
dinamica,7100,1000,DP,105.956
dinamica,7100,1500,DP,177.04
dinamica,7100,2000,DP,249.267
dinamica,7100,2500,DP,319.668
dinamica,7100,3000,DP,396.025
dinamica,7100,3500,DP,485.941
dinamica,7100,4000,DP,522.911
dinamica,7100,4500,DP,514.731
dinamica,7100,5000,DP,515.826
dinamica,7100,5500,DP,527.541
dinamica,7100,6000,DP,533.741
dinamica,7100,6500,DP,551.362
dinamica,7100,7000,DP,542.576
dinamica,7100,7500,DP,551.269
dinamica,7600,1000,DP,157.956
dinamica,7600,1500,DP,191.264
dinamica,7600,2000,DP,260.9
dinamica,7600,2500,DP,336.87
dinamica,7600,3000,DP,415.608
dinamica,7600,3500,DP,473.197
dinamica,7600,4000,DP,635.939
dinamica,7600,4500,DP,539.19
dinamica,7600,5000,DP,553.209
dinamica,7600,5500,DP,537.013
dinamica,7600,6000,DP,624.866
dinamica,7600,6500,DP,622.55
dinamica,7600,7000,DP,778.459
dinamica,7600,7500,DP,682.524
