dataset,n,R,metodo,tiempo
mejor-caso-BT,138,1000,BT,0.02959
mejor-caso-BT,139,1000,BT,0.029875
mejor-caso-BT,140,1000,BT,0.031227
mejor-caso-BT,141,1000,BT,0.030777
mejor-caso-BT,142,1000,BT,0.030355
mejor-caso-BT,143,1000,BT,0.030913
mejor-caso-BT,144,1000,BT,0.031225
mejor-caso-BT,145,1000,BT,0.03092
mejor-caso-BT,146,1000,BT,0.030805
mejor-caso-BT,147,1000,BT,0.032168
mejor-caso-BT,148,1000,BT,0.031656
mejor-caso-BT,149,1000,BT,0.032292
mejor-caso-BT,150,1000,BT,0.033963
mejor-caso-BT,151,1000,BT,0.033416
mejor-caso-BT,152,1000,BT,0.032917
mejor-caso-BT,153,1000,BT,0.032193
mejor-caso-BT,154,1000,BT,0.034185
mejor-caso-BT,155,1000,BT,0.034398
mejor-caso-BT,156,1000,BT,0.034483
mejor-caso-BT,157,1000,BT,0.034319
mejor-caso-BT,158,1000,BT,0.033448
mejor-caso-BT,159,1000,BT,0.032763
mejor-caso-BT,160,1000,BT,0.033488
mejor-caso-BT,161,1000,BT,0.033301
mejor-caso-BT,162,1000,BT,0.03383
mejor-caso-BT,163,1000,BT,0.034014
mejor-caso-BT,164,1000,BT,0.034902
mejor-caso-BT,165,1000,BT,0.035403
mejor-caso-BT,166,1000,BT,0.03542
mejor-caso-BT,167,1000,BT,0.036009
mejor-caso-BT,168,1000,BT,0.035509
mejor-caso-BT,169,1000,BT,0.036292
mejor-caso-BT,170,1000,BT,0.036862
mejor-caso-BT,171,1000,BT,0.037271
mejor-caso-BT,172,1000,BT,0.03666
mejor-caso-BT,173,1000,BT,0.038074
mejor-caso-BT,174,1000,BT,0.037877
mejor-caso-BT,175,1000,BT,0.03835
mejor-caso-BT,176,1000,BT,0.038244
mejor-caso-BT,177,1000,BT,0.038028
mejor-caso-BT,178,1000,BT,0.037689
mejor-caso-BT,179,1000,BT,0.039149
mejor-caso-BT,180,1000,BT,0.038656
mejor-caso-BT,181,1000,BT,0.039886
mejor-caso-BT,182,1000,BT,0.042073
mejor-caso-BT,183,1000,BT,0.038311
mejor-caso-BT,184,1000,BT,0.039296
mejor-caso-BT,185,1000,BT,0.041193
mejor-caso-BT,186,1000,BT,0.038768
mejor-caso-BT,187,1000,BT,0.040727
mejor-caso-BT,188,1000,BT,0.040766
mejor-caso-BT,189,1000,BT,0.041841
mejor-caso-BT,190,1000,BT,0.041232
mejor-caso-BT,191,1000,BT,0.042041
mejor-caso-BT,192,1000,BT,0.041061
mejor-caso-BT,193,1000,BT,0.043845
mejor-caso-BT,194,1000,BT,0.042431
mejor-caso-BT,195,1000,BT,0.042614
mejor-caso-BT,196,1000,BT,0.045679
mejor-caso-BT,197,1000,BT,0.044491
mejor-caso-BT,198,1000,BT,0.042663
mejor-caso-BT,199,1000,BT,0.042984
mejor-caso-BT,200,1000,BT,0.040547
mejor-caso-BT,201,1000,BT,0.041678
mejor-caso-BT,202,1000,BT,0.039672
mejor-caso-BT,203,1000,BT,0.039164
mejor-caso-BT,204,1000,BT,0.040971
mejor-caso-BT,205,1000,BT,0.042537
mejor-caso-BT,206,1000,BT,0.04164
mejor-caso-BT,207,1000,BT,0.043688
mejor-caso-BT,208,1000,BT,0.04354
mejor-caso-BT,209,1000,BT,0.044705
mejor-caso-BT,210,1000,BT,0.04454
mejor-caso-BT,211,1000,BT,0.042244
mejor-caso-BT,212,1000,BT,0.044435
mejor-caso-BT,213,1000,BT,0.042209
mejor-caso-BT,214,1000,BT,0.045474
mejor-caso-BT,215,1000,BT,0.046015
mejor-caso-BT,216,1000,BT,0.043779
mejor-caso-BT,217,1000,BT,0.045982
mejor-caso-BT,218,1000,BT,0.045004
mejor-caso-BT,219,1000,BT,0.045356
mejor-caso-BT,220,1000,BT,0.044403
mejor-caso-BT,221,1000,BT,0.045418
mejor-caso-BT,222,1000,BT,0.057692
mejor-caso-BT,223,1000,BT,0.046177
mejor-caso-BT,224,1000,BT,0.045401
mejor-caso-BT,225,1000,BT,0.047114
mejor-caso-BT,226,1000,BT,0.047642
mejor-caso-BT,227,1000,BT,0.047424
mejor-caso-BT,228,1000,BT,0.048839
mejor-caso-BT,229,1000,BT,0.048827
mejor-caso-BT,230,1000,BT,0.048737
mejor-caso-BT,231,1000,BT,0.049164
mejor-caso-BT,232,1000,BT,0.049728
mejor-caso-BT,233,1000,BT,0.049092
mejor-caso-BT,234,1000,BT,0.04915
mejor-caso-BT,235,1000,BT,0.049036
mejor-caso-BT,236,1000,BT,0.046984
mejor-caso-BT,237,1000,BT,0.048842
mejor-caso-BT,238,1000,BT,0.05077
mejor-caso-BT,239,1000,BT,0.049469
mejor-caso-BT,240,1000,BT,0.049416
mejor-caso-BT,241,1000,BT,0.049337
mejor-caso-BT,242,1000,BT,0.048091
mejor-caso-BT,243,1000,BT,0.050655
mejor-caso-BT,244,1000,BT,0.052034
mejor-caso-BT,245,1000,BT,0.052572
mejor-caso-BT,246,1000,BT,0.052832
mejor-caso-BT,247,1000,BT,0.051396
mejor-caso-BT,248,1000,BT,0.0509
mejor-caso-BT,249,1000,BT,0.049102
mejor-caso-BT,250,1000,BT,0.050787
mejor-caso-BT,251,1000,BT,0.051362
mejor-caso-BT,252,1000,BT,0.050872
mejor-caso-BT,253,1000,BT,0.052294
mejor-caso-BT,254,1000,BT,0.055093
mejor-caso-BT,255,1000,BT,0.052873
mejor-caso-BT,256,1000,BT,0.053526
mejor-caso-BT,257,1000,BT,0.053194
mejor-caso-BT,258,1000,BT,0.053919
mejor-caso-BT,259,1000,BT,0.05427
mejor-caso-BT,260,1000,BT,0.052548
mejor-caso-BT,261,1000,BT,0.055709
mejor-caso-BT,262,1000,BT,0.056945
mejor-caso-BT,263,1000,BT,0.056327
mejor-caso-BT,264,1000,BT,0.056666
mejor-caso-BT,265,1000,BT,0.057203
mejor-caso-BT,266,1000,BT,0.058227
mejor-caso-BT,267,1000,BT,0.057459
mejor-caso-BT,268,1000,BT,0.056554
mejor-caso-BT,269,1000,BT,0.055692
mejor-caso-BT,270,1000,BT,0.05525
mejor-caso-BT,271,1000,BT,0.057503
mejor-caso-BT,272,1000,BT,0.057496
mejor-caso-BT,273,1000,BT,0.058164
mejor-caso-BT,274,1000,BT,0.056544
mejor-caso-BT,275,1000,BT,0.058465
mejor-caso-BT,276,1000,BT,0.061874
mejor-caso-BT,277,1000,BT,0.059429
mejor-caso-BT,278,1000,BT,0.05749
mejor-caso-BT,279,1000,BT,0.057967
mejor-caso-BT,280,1000,BT,0.058112
mejor-caso-BT,281,1000,BT,0.056601
mejor-caso-BT,282,1000,BT,0.05998
mejor-caso-BT,283,1000,BT,0.05773
mejor-caso-BT,284,1000,BT,0.059451
mejor-caso-BT,285,1000,BT,0.057115
mejor-caso-BT,286,1000,BT,0.05907
mejor-caso-BT,287,1000,BT,0.062356
mejor-caso-BT,288,1000,BT,0.061948
mejor-caso-BT,289,1000,BT,0.064022
mejor-caso-BT,290,1000,BT,0.062211
mejor-caso-BT,291,1000,BT,0.063376
mejor-caso-BT,292,1000,BT,0.063026
mejor-caso-BT,293,1000,BT,0.063133
mejor-caso-BT,294,1000,BT,0.060469
mejor-caso-BT,295,1000,BT,0.061751
mejor-caso-BT,296,1000,BT,0.065201
mejor-caso-BT,297,1000,BT,0.067915
mejor-caso-BT,298,1000,BT,0.06536
mejor-caso-BT,299,1000,BT,0.065716
mejor-caso-BT,300,1000,BT,0.06634
mejor-caso-BT,301,1000,BT,0.066676
mejor-caso-BT,302,1000,BT,0.066398
mejor-caso-BT,303,1000,BT,0.064997
mejor-caso-BT,304,1000,BT,0.063643
mejor-caso-BT,305,1000,BT,0.063827
mejor-caso-BT,306,1000,BT,0.064439
mejor-caso-BT,307,1000,BT,0.065684
mejor-caso-BT,308,1000,BT,0.066479
mejor-caso-BT,309,1000,BT,0.066492
mejor-caso-BT,310,1000,BT,0.066684
mejor-caso-BT,311,1000,BT,0.066671
mejor-caso-BT,312,1000,BT,0.06934
mejor-caso-BT,313,1000,BT,0.068765
mejor-caso-BT,314,1000,BT,0.071569
mejor-caso-BT,315,1000,BT,0.0725
mejor-caso-BT,316,1000,BT,0.065852
mejor-caso-BT,317,1000,BT,0.06463
mejor-caso-BT,318,1000,BT,0.075128
mejor-caso-BT,319,1000,BT,0.069128
mejor-caso-BT,320,1000,BT,0.070045
mejor-caso-BT,321,1000,BT,0.070949
mejor-caso-BT,322,1000,BT,0.071276
mejor-caso-BT,323,1000,BT,0.071297
mejor-caso-BT,324,1000,BT,0.070959
mejor-caso-BT,325,1000,BT,0.072205
mejor-caso-BT,326,1000,BT,0.070026
mejor-caso-BT,327,1000,BT,0.070666
mejor-caso-BT,328,1000,BT,0.07006
mejor-caso-BT,329,1000,BT,0.067095
mejor-caso-BT,330,1000,BT,0.067874
mejor-caso-BT,331,1000,BT,0.067368
mejor-caso-BT,332,1000,BT,0.067806
mejor-caso-BT,333,1000,BT,0.071166
mejor-caso-BT,334,1000,BT,0.072141
mejor-caso-BT,335,1000,BT,0.069252
mejor-caso-BT,336,1000,BT,0.071554
mejor-caso-BT,337,1000,BT,0.074656
mejor-caso-BT,338,1000,BT,0.069059
mejor-caso-BT,339,1000,BT,0.073645
mejor-caso-BT,340,1000,BT,0.071515
mejor-caso-BT,341,1000,BT,0.073427
mejor-caso-BT,342,1000,BT,0.071218
mejor-caso-BT,343,1000,BT,0.072112
mejor-caso-BT,344,1000,BT,0.074329
mejor-caso-BT,345,1000,BT,0.076808
mejor-caso-BT,346,1000,BT,0.071217
mejor-caso-BT,347,1000,BT,0.073797
mejor-caso-BT,348,1000,BT,0.075391
mejor-caso-BT,349,1000,BT,0.073317
mejor-caso-BT,350,1000,BT,0.075606
mejor-caso-BT,351,1000,BT,0.076991
mejor-caso-BT,352,1000,BT,0.075877
mejor-caso-BT,353,1000,BT,0.072272
mejor-caso-BT,354,1000,BT,0.070296
mejor-caso-BT,355,1000,BT,0.073118
mejor-caso-BT,356,1000,BT,0.079277
mejor-caso-BT,357,1000,BT,0.079634
mejor-caso-BT,358,1000,BT,0.076116
mejor-caso-BT,359,1000,BT,0.082928
mejor-caso-BT,360,1000,BT,0.077858
mejor-caso-BT,361,1000,BT,0.077765
mejor-caso-BT,362,1000,BT,0.079158
mejor-caso-BT,363,1000,BT,0.079684
mejor-caso-BT,364,1000,BT,0.079432
mejor-caso-BT,365,1000,BT,0.079806
mejor-caso-BT,366,1000,BT,0.080304
mejor-caso-BT,367,1000,BT,0.083125
mejor-caso-BT,368,1000,BT,0.080776
mejor-caso-BT,369,1000,BT,0.08099
mejor-caso-BT,370,1000,BT,0.081262
mejor-caso-BT,371,1000,BT,0.080179
mejor-caso-BT,372,1000,BT,0.075566
mejor-caso-BT,373,1000,BT,0.075173
mejor-caso-BT,374,1000,BT,0.076803
mejor-caso-BT,375,1000,BT,0.074203
mejor-caso-BT,376,1000,BT,0.07905
mejor-caso-BT,377,1000,BT,0.084043
mejor-caso-BT,378,1000,BT,0.079626
mejor-caso-BT,379,1000,BT,0.082711
mejor-caso-BT,380,1000,BT,0.082884
mejor-caso-BT,381,1000,BT,0.084022
mejor-caso-BT,382,1000,BT,0.08393
mejor-caso-BT,383,1000,BT,0.082105
mejor-caso-BT,384,1000,BT,0.083854
mejor-caso-BT,385,1000,BT,0.07832
mejor-caso-BT,386,1000,BT,0.089904
mejor-caso-BT,387,1000,BT,0.08505
mejor-caso-BT,388,1000,BT,0.080321
mejor-caso-BT,389,1000,BT,0.076311
mejor-caso-BT,390,1000,BT,0.080795
mejor-caso-BT,391,1000,BT,0.090878
mejor-caso-BT,392,1000,BT,0.082937
mejor-caso-BT,393,1000,BT,0.083523
mejor-caso-BT,394,1000,BT,0.084175
