dataset,n,W,metodo,tiempo
completos-random,32,496.0,METAH2,919.211
completos-random,33,528.0,H1,0.011164
completos-random,33,528.0,H2,0.08482
completos-random,33,528.0,HAGM,0.023503
completos-random,33,528.0,METAH1,830.175
completos-random,33,528.0,METAH2,987.309
completos-random,34,561.0,H1,0.012536
completos-random,34,561.0,H2,0.087687
completos-random,34,561.0,HAGM,0.02439
completos-random,34,561.0,METAH1,869.893
completos-random,34,561.0,METAH2,1060.93
completos-random,35,595.0,H1,0.012533
completos-random,35,595.0,H2,0.092259
completos-random,35,595.0,HAGM,0.024878
completos-random,35,595.0,METAH1,960.541
completos-random,35,595.0,METAH2,1143.24
completos-random,36,630.0,H1,0.012696
completos-random,36,630.0,H2,0.099581
completos-random,36,630.0,HAGM,0.025108
completos-random,36,630.0,METAH1,1024.15
completos-random,36,630.0,METAH2,1209.33
completos-random,37,666.0,H1,0.013199
completos-random,37,666.0,H2,0.106046
completos-random,37,666.0,HAGM,0.034395
completos-random,37,666.0,METAH1,1098.45
completos-random,37,666.0,METAH2,1303.05
completos-random,38,703.0,H1,0.013863
completos-random,38,703.0,H2,0.111441
completos-random,38,703.0,HAGM,0.026985
completos-random,38,703.0,METAH1,1168.38
completos-random,38,703.0,METAH2,1370.95
completos-random,39,741.0,H1,0.014229
completos-random,39,741.0,H2,0.113943
completos-random,39,741.0,HAGM,0.027596
completos-random,39,741.0,METAH1,1245.36
completos-random,39,741.0,METAH2,1452.49
completos-random,40,780.0,H1,0.015941
completos-random,40,780.0,H2,0.119825
completos-random,40,780.0,HAGM,0.028418
completos-random,40,780.0,METAH1,1334.6
completos-random,40,780.0,METAH2,1536.38
completos-random,41,820.0,H1,0.015339
completos-random,41,820.0,H2,0.122469
completos-random,41,820.0,HAGM,0.030232
completos-random,41,820.0,METAH1,1410.2
completos-random,41,820.0,METAH2,1681.21
completos-random,42,861.0,H1,0.017312
completos-random,42,861.0,H2,0.132916
completos-random,42,861.0,HAGM,0.030624
completos-random,42,861.0,METAH1,1706.71
completos-random,42,861.0,METAH2,1858.7
completos-random,43,903.0,H1,0.019679
completos-random,43,903.0,H2,0.1629
completos-random,43,903.0,HAGM,0.035463
completos-random,43,903.0,METAH1,1597.08
completos-random,43,903.0,METAH2,1839.39
completos-random,44,946.0,H1,0.015186
completos-random,44,946.0,H2,0.137315
completos-random,44,946.0,HAGM,0.030623
completos-random,44,946.0,METAH1,1651.96
completos-random,44,946.0,METAH2,2052.74
completos-random,45,990.0,H1,0.02573
completos-random,45,990.0,H2,0.184166
completos-random,45,990.0,HAGM,0.037804
completos-random,45,990.0,METAH1,1836.56
completos-random,45,990.0,METAH2,2202.25
completos-random,46,1035.0,H1,0.019062
completos-random,46,1035.0,H2,0.156937
completos-random,46,1035.0,HAGM,0.035255
completos-random,46,1035.0,METAH1,1897.44
completos-random,46,1035.0,METAH2,2130.42
completos-random,47,1081.0,H1,0.018523
completos-random,47,1081.0,H2,0.163848
completos-random,47,1081.0,HAGM,0.03793
completos-random,47,1081.0,METAH1,1950.85
completos-random,47,1081.0,METAH2,2250.33
completos-random,48,1128.0,H1,0.018097
completos-random,48,1128.0,H2,0.168672
completos-random,48,1128.0,HAGM,0.037085
completos-random,48,1128.0,METAH1,2125.76
completos-random,48,1128.0,METAH2,2452.43
completos-random,49,1176.0,H1,0.02042
completos-random,49,1176.0,H2,0.186716
completos-random,49,1176.0,HAGM,0.040174
completos-random,49,1176.0,METAH1,2179.62
completos-random,49,1176.0,METAH2,2509.62
completos-random,50,1225.0,H1,0.021848
completos-random,50,1225.0,H2,0.20544
completos-random,50,1225.0,HAGM,0.038793
completos-random,50,1225.0,METAH1,2326.55
completos-random,50,1225.0,METAH2,2687.88
completos-random,51,1275.0,H1,0.021623
completos-random,51,1275.0,H2,0.199876
completos-random,51,1275.0,HAGM,0.037773
completos-random,51,1275.0,METAH1,2472.94
completos-random,51,1275.0,METAH2,2804.25
completos-random,52,1326.0,H1,0.02432
completos-random,52,1326.0,H2,0.208089
completos-random,52,1326.0,HAGM,0.03707
completos-random,52,1326.0,METAH1,2492.51
completos-random,52,1326.0,METAH2,2896.36
completos-random,53,1378.0,H1,0.01918
completos-random,53,1378.0,H2,0.253341
completos-random,53,1378.0,HAGM,0.038373
completos-random,53,1378.0,METAH1,2605.1
completos-random,53,1378.0,METAH2,2998.27
completos-random,54,1431.0,H1,0.022331
completos-random,54,1431.0,H2,0.194346
completos-random,54,1431.0,HAGM,0.038411
completos-random,54,1431.0,METAH1,2734.05
completos-random,54,1431.0,METAH2,3181.24
